2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2024-02-14|13:30:00|Valentine's dinner|The Smith|-120.00
2024-03-03|10:45:00|freelance payment|Sandy|950.00
2024-03-15|14:10:00|business card printing|Vistaprint|-49.95
2024-04-05|12:00:00|new mouse|Best Buy|-25.99
2024-04-22|15:40:00|invoice received|Randal|1300.00
2024-05-01|11:00:00|May Day bonus|Company|-500.00
2025-02-14|18:30:00|Valentine's flowers|Local Florist|-35.00
2025-03-09|09:50:00|coffee with client|Starbucks|-8.45
2025-03-28|16:10:00|invoice payment|Joe|1200.00
2025-04-28|14:29:10|Freelance project payment|Upwork|850.00
2025-04-28|14:34:40|sold old bike|Facebook Marketplace|120.00
2025-04-28|14:35:28|monthly subscription|Spotify|-9.99
